paper_id,journal,journal_family,figure_number,panel,plot_family,spines,tick_direction,grid,background,error_bar_style,points_overlaid,marker_fill,marker_size_class,line_weight_class,axis_line_weight_class,legend_position,legend_frame,legend_entries,n_categorical_colours,palette_class,sequential_cmap_class,colourbar_position,panel_label_case,panel_label_weight,panel_label_size_class,font_class,axis_label_weight,title_present,significance_style,brackets,n_stated_in_panel,tick_label_density,x_tick_rotation,panel_aspect_class,confidence,notes,image_path,reviewer
PMC13564881,Science Advances,Science,1,B,line,box,in,none,white,none,na,na,na,regular,regular,inside,no,4,4,saturated,na,na,upper,bold,larger,sans,bold,no,none,na,no,normal,0,square,medium,Origin-style boxed axes; ticks read as inward,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig1.webp,science_2
PMC13564881,Science Advances,Science,1,C,line,box,in,none,white,none,na,na,na,regular,regular,inside,no,1,1,saturated,na,na,upper,bold,larger,sans,bold,no,none,na,no,normal,0,square,medium,single red trace; legend is one label inside top right,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig1.webp,science_2
PMC13564881,Science Advances,Science,1,D,scatter_regression,box,in,none,white,bars_caps,na,filled,small,regular,regular,none,na,na,2,mixed,na,na,upper,bold,larger,sans,bold,no,none,na,no,normal,0,square,medium,black markers + red linear fit; regression equation annotated inside; greyscale inset photo with Max/Min bar,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig1.webp,science_2
PMC13564881,Science Advances,Science,2,A,grouped_bar,LB,out,none,white,bars,no,na,na,na,regular,inside,no,3,3,muted,na,na,upper,bold,much_larger,sans,bold,no,none,no,no,normal,0,wide,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig2.webp,science_2
PMC13564881,Science Advances,Science,2,B,grouped_bar,LB,out,none,white,bars,no,na,na,na,regular,inside,no,3,3,muted,na,na,upper,bold,much_larger,sans,bold,yes,none,no,no,normal,0,wide,medium,'OGD/R' printed as title inside top left,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig2.webp,science_2
PMC13564881,Science Advances,Science,2,E,bar,LB,out,none,white,bars_caps,yes,open,small,na,regular,outside_right,no,4,4,muted,na,na,upper,bold,much_larger,sans,bold,no,p_values,yes,no,normal,0,tall,medium,exact P values and 'ns' over brackets,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig2.webp,science_2
PMC13564881,Science Advances,Science,2,F,line,none,none,none,white,none,na,na,na,regular,UNKNOWN,none,na,na,5,mixed,na,na,upper,bold,much_larger,sans,regular,no,none,na,no,sparse,na,wide,medium,"no axis lines, only x and y scale bars; traces labelled directly at right; axis_line_weight UNKNOWN because no axis drawn",PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig2.webp,science_2
PMC13564881,Science Advances,Science,2,G,bar,LB,out,none,white,bars_caps,yes,open,small,na,regular,outside_right,no,5,5,muted,na,na,upper,bold,much_larger,sans,bold,no,p_values,yes,no,normal,0,tall,medium,one panel letter over four side-by-side bar charts sharing one legend,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig2.webp,science_2
PMC13564881,Science Advances,Science,2,I,line,LB,out,none,white,none,na,na,na,regular,regular,none,na,na,4,mixed,na,na,upper,bold,much_larger,sans,bold,no,none,na,no,sparse,na,wide,medium,one panel letter over five trace plots; no numeric tick labels (a.u.); group names below each plot,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig2.webp,science_2
PMC13564881,Science Advances,Science,3,B,line,box,in,none,white,none,na,filled,small,regular,regular,none,na,na,2,mixed,na,na,upper,bold,larger,sans,bold,no,none,na,no,normal,0,square,medium,black line+square markers with red Gaussian fit and annotated width arrow,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig3.webp,science_2
PMC13564881,Science Advances,Science,3,C,line,box,in,none,white,none,na,filled,small,regular,regular,none,na,na,2,mixed,na,na,upper,bold,larger,sans,bold,no,none,na,no,normal,0,square,medium,as panel B,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig3.webp,science_2
PMC13564881,Science Advances,Science,3,E,line,LB,UNKNOWN,none,white,bars_caps,na,filled,small,regular,regular,inside,no,2,2,mixed,na,na,upper,bold,much_larger,sans,bold,no,p_values,no,no,normal,0,square,medium,tick_direction UNKNOWN because ticks not resolvable; single P value annotated inside,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig3.webp,science_2
PMC13564881,Science Advances,Science,3,H,bar,LB,out,none,white,bars_caps,yes,open,small,na,regular,outside_right,no,3,3,muted,na,na,upper,bold,much_larger,sans,bold,no,p_values,yes,no,normal,0,tall,medium,one panel letter over three bar charts sharing a legend; 'ns' marks used,PRIVATE_REFERENCE_ONLY/corpus/PMC13564881/figures/Fig3.webp,science_2
PMC13564900,Science Advances,Science,1,D,line,LB,out,none,white,none,na,na,na,regular,regular,inside,no,3,4,mixed,na,na,upper,bold,much_larger,sans,regular,no,none,na,no,normal,0,square,high,cumulative distribution curves; black/blue/red group curves over grey individual curves; small red schematic icon inside top left,PRIVATE_REFERENCE_ONLY/corpus/PMC13564900/figures/Fig1.webp,science_2
PMC13564900,Science Advances,Science,1,E,line,LB,out,none,white,none,na,na,na,regular,regular,inside,no,3,4,mixed,na,na,upper,bold,much_larger,sans,regular,no,none,na,no,normal,0,square,high,cumulative distribution curves; black/blue/red group curves over grey individual curves; small red schematic icon inside top left,PRIVATE_REFERENCE_ONLY/corpus/PMC13564900/figures/Fig1.webp,science_2
PMC13564900,Science Advances,Science,1,F,line,LB,out,none,white,none,na,na,na,regular,regular,none,na,na,2,greys,na,na,upper,bold,much_larger,sans,regular,no,none,na,no,normal,0,square,high,black mean curve over grey individual curves; schematic icon inside top left,PRIVATE_REFERENCE_ONLY/corpus/PMC13564900/figures/Fig1.webp,science_2
