property,supported,global_or_plot_specific,preset_serialized,preview_supported,renderer_support,limitations,code_location,test_location
format identifier (format = make_my_figure.figure_preset),yes,global,yes (top-level 'format'),no (re-render after apply only),n/a,Any other value is refused by validate_preset; raw PlotSpecs/sidecars are coerced instead,"make_my_figure_core/presets.py:57, make_my_figure_core/presets.py:441-443",tests/test_figure_presets.py:308-310
"format_version (=1; newer refused, older accepted)",yes,global,yes (top-level 'format_version'),no (re-render after apply only),n/a,No migration hooks for future versions; version > 1 raises PresetError,"make_my_figure_core/presets.py:58, make_my_figure_core/presets.py:444-451",tests/test_figure_presets.py:311-315
file extension .mmfpreset.json,yes,global,n/a (file name),no (re-render after apply only),n/a,save_preset also accepts any *.json name; store lists every *.json that validates,"make_my_figure_core/presets.py:59, make_my_figure_core/presets.py:515-516, make_my_figure_core/presets.py:588-597","tests/test_figure_presets.py:290-297, tests/test_figure_presets.py:363-367"
name / description,yes,global,yes,no (re-render after apply only),n/a,Name drives the library file name via safe_filename; description has no UI field in either app,"make_my_figure_core/presets.py:242-243, make_my_figure_core/presets.py:533-536, make_my_figure_core/presets.py:606-608",tests/test_figure_presets.py:380-382
mode (style | full),yes,global,yes (top-level 'mode'),no (re-render after apply only),n/a,Only two modes; no per-block opt-in (e.g. typography-only),"make_my_figure_core/presets.py:65, make_my_figure_core/presets.py:227-228, make_my_figure_core/presets.py:452-453",tests/test_figure_presets.py:93-133
plot_type (compatibility key),yes,global,yes,no (re-render after apply only),n/a,Style preset from another plot type applies universal parts only; full preset for another type raises; strict_plot_type flag exists but no frontend uses it,"make_my_figure_core/presets.py:245, make_my_figure_core/presets.py:318-328",tests/test_figure_presets.py:201-220
journal_style (profile name),yes,global,yes,no (re-render after apply only),all (load_profile),Legacy journal names normalized to 'publication' on coercion; effectively only 'publication' exists at runtime,"make_my_figure_core/presets.py:246, make_my_figure_core/presets.py:335-336, make_my_figure_core/presets.py:494-497; make_my_figure_core/styles/engine.py:373-393",tests/test_figure_presets.py:339-344
created / app_version provenance,yes,global,yes,no (re-render after apply only),n/a,Informational only; not checked on load,make_my_figure_core/presets.py:247-248,none
notes (dropped-key log),yes,global,yes (list),no (re-render after apply only),n/a,Only written when unknown style keys are dropped or a PlotSpec is converted,"make_my_figure_core/presets.py:203-212, make_my_figure_core/presets.py:262-263, make_my_figure_core/presets.py:500-501","tests/test_figure_presets.py:278-283, tests/test_figure_presets.py:318-327"
universal flag (plot-type-independent style preset),partial,global,yes ('universal': true),no (re-render after apply only),n/a,universal_preset_from() exists in core but neither frontend offers a 'save as universal' action; universal presets are listed for every plot type,"make_my_figure_core/presets.py:421-431, make_my_figure_core/presets.py:598-600",tests/test_figure_presets.py:347-360
style block (StyleProfile override tokens),yes,global,yes (both modes),no (re-render after apply only),all via StyleProfile.with_overrides + rc_context,Only keys in STYLE_TOKEN_KEYS survive extraction; unknown keys dropped with a note,"make_my_figure_core/presets.py:103-112, make_my_figure_core/presets.py:203-212, make_my_figure_core/presets.py:331-334; make_my_figure_core/styles/engine.py:261-290; make_my_figure_core/plots/registry.py:318","tests/test_figure_presets.py:93-120, tests/test_figure_presets.py:278-283"
layout geometry block,yes,global,yes (both modes),no (re-render after apply only),registry apply_publication_layout on axes[0] of every plot,"Unknown layout keys are classified as style/geometry by default (e.g. x_scale, y_scale, colorbar_label)","make_my_figure_core/presets.py:72-83, make_my_figure_core/presets.py:173-184, make_my_figure_core/presets.py:339-342; make_my_figure_core/plots/registry.py:344-351; make_my_figure_core/plots/base.py:427-543",tests/test_figure_presets.py:145-156
options block (style-scoped plot options),yes,plot-specific,yes (both modes),no (re-render after apply only),per renderer via get_mapping,"Option must be declared scope='style' in ui_hints; on cross-type apply, options not registered for the target are skipped and listed","make_my_figure_core/presets.py:152-170, make_my_figure_core/presets.py:251, make_my_figure_core/presets.py:349-357; make_my_figure_core/ui_hints.py:62-89","tests/test_figure_presets.py:80-86, tests/test_figure_presets.py:209-231"
output block (export defaults),yes,global,yes (both modes),no (re-render after apply only),render_to_files uses formats/dpi; width_mm/height_mm recorded only,See width_mm row: physical size is not consumed by the renderer,"make_my_figure_core/presets.py:95, make_my_figure_core/presets.py:237, make_my_figure_core/presets.py:344-347; make_my_figure_core/plots/registry.py:574-577; make_my_figure_core/plots/base.py:651-652",tests/test_figure_presets.py:147-157
statistics_display block (annotation style),yes,global,yes (both modes),no (re-render after apply only),"stats_overlay (bracket/above_bar, stars/p)",Only the 'annotation' sub-dict is style; analysis keys travel in full mode only,"make_my_figure_core/presets.py:97-99, make_my_figure_core/presets.py:187-200, make_my_figure_core/presets.py:359-365",tests/test_figure_presets.py:234-251
mapping_roles (column roles),yes,plot-specific,full mode only,no (re-render after apply only),n/a,Applied only when the new table has the column; otherwise reported in unresolved_roles; never substituted,"make_my_figure_core/presets.py:256, make_my_figure_core/presets.py:368-383",tests/test_figure_presets.py:166-198
"config_options (thresholds, methods, axis limits, unknown keys)",yes,plot-specific,full mode only,no (re-render after apply only),per renderer,Unregistered mapping keys are treated as config (data-bound) by default,"make_my_figure_core/presets.py:166-169, make_my_figure_core/presets.py:257, make_my_figure_core/presets.py:384-386","tests/test_figure_presets.py:67-77, tests/test_figure_presets.py:223-231"
"labels (title, x_label, y_label)",yes,global,full mode only,no (re-render after apply only),all axes-based renderers,Text about the data; excluded from style presets by design,"make_my_figure_core/presets.py:83, make_my_figure_core/presets.py:258, make_my_figure_core/presets.py:387-389","tests/test_figure_presets.py:97-105, tests/test_figure_presets.py:125-131"
"statistics (test, comparison_mode, correction, group columns)",yes,global,full mode only,no (re-render after apply only),statistics engine,Column-bearing keys checked against new table; 'source' and '_annotation_info' never travel,"make_my_figure_core/presets.py:99, make_my_figure_core/presets.py:259, make_my_figure_core/presets.py:390-404",tests/test_figure_presets.py:234-263
annotations (manual annotation layer),yes,global,full mode only,no (re-render after apply only),registry apply_annotations on axes[0],Restored at saved positions with a warning; positions were chosen for the original data,"make_my_figure_core/presets.py:260-261, make_my_figure_core/presets.py:405-410; make_my_figure_core/plots/registry.py:389-401",tests/test_figure_preset_qc.py:43-46 (annotation_roundtrip)
font_family,yes,global,yes,no (re-render after apply only),all (rcParams font.family via style.apply),Streamlit has no font control; desktop offers 5 families; missing fonts fall back to DejaVu Sans silently,"make_my_figure_core/styles/engine.py:143, make_my_figure_core/styles/engine.py:218-219, make_my_figure_core/styles/engine.py:283-289; apps/desktop_app/main.py:1070-1074, apps/desktop_app/main.py:1212-1214",tests/test_style_font_stack.py
base_font_pt (default 11 pt),partial,global,yes,no (re-render after apply only),all (rcParams font.size),No UI control in either app; no renderer reads it directly,"make_my_figure_core/styles/engine.py:145, make_my_figure_core/styles/engine.py:220",none found
axis_font_pt (default 12 pt),yes,global,yes,no (re-render after apply only),all via rcParams axes.labelsize; 9 renderers read directly,,"make_my_figure_core/styles/engine.py:146, make_my_figure_core/styles/engine.py:225; apps/desktop_app/main.py:1076; apps/streamlit_app/streamlit_app.py:1053",scripts/build_figure_preset_qc.py:67 (typography_roundtrip)
tick_label_pt (default 10 pt),yes,global,yes,no (re-render after apply only),all via rcParams + style_axes (31 renderers); heatmap/confusion read directly,,"make_my_figure_core/styles/engine.py:147, make_my_figure_core/styles/engine.py:231-232; make_my_figure_core/plots/base.py:269-270; apps/desktop_app/main.py:1077; apps/streamlit_app/streamlit_app.py:1054",tests/test_figure_presets.py:290-297
legend_pt (default 10 pt),yes,global,yes,no (re-render after apply only),rcParams legend.fontsize; 17 renderers via place_legend,No effect on plots without a legend (capabilities flag supports_legend=False for bar/box/forest/etc.),"make_my_figure_core/styles/engine.py:148, make_my_figure_core/styles/engine.py:233; make_my_figure_core/styles/capabilities.py:48; apps/desktop_app/main.py:1117; apps/streamlit_app/streamlit_app.py:1080",scripts/build_figure_preset_qc.py:270 (legend_roundtrip)
legend_title_pt (default 11 pt),partial,global,yes,no (re-render after apply only),"rcParams legend.title_fontsize; enrichment, waterfall directly",No UI control in either app,"make_my_figure_core/styles/engine.py:149, make_my_figure_core/styles/engine.py:234",none found
title_font_pt (default 13 pt; UI default 14),yes,global,yes,no (re-render after apply only),rcParams axes.titlesize; 7 renderers directly,Engine default (13) differs from both UI defaults (14),"make_my_figure_core/styles/engine.py:150, make_my_figure_core/styles/engine.py:223; apps/desktop_app/main.py:1075; apps/streamlit_app/streamlit_app.py:1052, apps/streamlit_app/streamlit_app.py:881","tests/test_streamlit_presets.py:60-61, 83"
title_font_weight (default bold),no,global,no (not in STYLE_TOKEN_KEYS),no (re-render after apply only),rcParams axes.titleweight; 6 renderers via getattr,with_overrides would accept it but _clean_style_tokens drops it from presets,"make_my_figure_core/styles/engine.py:151, make_my_figure_core/styles/engine.py:224; make_my_figure_core/presets.py:103-112",none
annotation_pt (default 9.5 pt; UI default 10),yes,global,yes,no (re-render after apply only),8 renderers + stats_overlay + annotations.py read directly (not an rcParam),Engine default (9.5) differs from UI defaults (10),make_my_figure_core/styles/engine.py:152; make_my_figure_core/plots/stats_overlay.py:64; make_my_figure_core/annotations.py:115; apps/desktop_app/main.py:1078; apps/streamlit_app/streamlit_app.py:1055,scripts/build_figure_preset_qc.py:274 (annotation_roundtrip)
panel_label_pt (default 13 pt),no,global,yes (token accepted),no (re-render after apply only),none - no renderer or panel builder reads it (FigureLayout.label_size is used instead),Orphan token: serialized but has no rendering effect,make_my_figure_core/styles/engine.py:153; make_my_figure_core/panels/models.py:122; make_my_figure_core/panels/builder.py:201,none
font_weight (default normal),partial,global,yes,no (re-render after apply only),rcParams font.weight / axes.labelweight,No UI control,"make_my_figure_core/styles/engine.py:154, make_my_figure_core/styles/engine.py:221, make_my_figure_core/styles/engine.py:227",none found
text_color (default #1a1a1a),partial,global,yes,no (re-render after apply only),rcParams text/axes/tick colors; 14 renderers directly,No UI control,"make_my_figure_core/styles/engine.py:155, make_my_figure_core/styles/engine.py:222, make_my_figure_core/styles/engine.py:226-230",none found
spine_width_pt (default 1.1),yes,global,yes,no (re-render after apply only),rcParams axes.linewidth; 17 renderers directly; stats bracket line width,,"make_my_figure_core/styles/engine.py:157, make_my_figure_core/styles/engine.py:236; apps/desktop_app/main.py:1081; apps/streamlit_app/streamlit_app.py:1059",scripts/build_figure_preset_qc.py (style_roundtrip)
tick_width (default 1.0),partial,global,yes,no (re-render after apply only),rcParams + style_axes (31 renderers); heatmap/confusion directly,No UI control,"make_my_figure_core/styles/engine.py:158, make_my_figure_core/styles/engine.py:238-239; make_my_figure_core/plots/base.py:269-270",none found
tick_length (default 4.5),partial,global,yes,no (re-render after apply only),rcParams + style_axes (31 renderers),No UI control,"make_my_figure_core/styles/engine.py:159, make_my_figure_core/styles/engine.py:240-241; make_my_figure_core/plots/base.py:269",none found
tick_direction (default out),partial,global,yes,no (re-render after apply only),rcParams + style_axes (31 renderers),No UI control,"make_my_figure_core/styles/engine.py:160, make_my_figure_core/styles/engine.py:242-243; make_my_figure_core/plots/base.py:269",none found
show_top_spine / show_right_spine (default False),partial,global,yes,no (re-render after apply only),rcParams axes.spines.* + style_axes (31 renderers),No UI control,"make_my_figure_core/styles/engine.py:161-162, make_my_figure_core/styles/engine.py:244-245; make_my_figure_core/plots/base.py:271-273",none found
grid (default False),yes,global,yes,no (re-render after apply only),rcParams axes.grid only,Renderers that draw their own minor grid (heatmap cell borders) are independent of this flag,"make_my_figure_core/styles/engine.py:163, make_my_figure_core/styles/engine.py:246; apps/desktop_app/main.py:1082, apps/desktop_app/main.py:1207; apps/streamlit_app/streamlit_app.py:1061",tests/test_figure_preset_ui_wiring.py:86 (sty_grid key)
grid_width / grid_alpha (default 0.6 / 0.35),partial,global,yes,no (re-render after apply only),rcParams grid.linewidth / grid.alpha,No UI control,"make_my_figure_core/styles/engine.py:164-165, make_my_figure_core/styles/engine.py:247-248",none found
line_width_pt (default 1.8),yes,global,yes,no (re-render after apply only),rcParams lines.linewidth; 21 renderers directly,Flagged unsupported for bars/heatmaps/etc. in capabilities (warning only),"make_my_figure_core/styles/engine.py:167, make_my_figure_core/styles/engine.py:237; make_my_figure_core/styles/capabilities.py:48; apps/desktop_app/main.py:1080; apps/streamlit_app/streamlit_app.py:1057",tests/test_figure_preset_palette_transfer.py:36-44
marker_size (default 45 pt^2),yes,global,yes,no (re-render after apply only),18 renderers directly (not an rcParam); volcano scales it (0.6x / 0.32x),supports_marker_size=False for ~20 plot types (warning only),make_my_figure_core/styles/engine.py:168; make_my_figure_core/plots/volcano.py:178-179; make_my_figure_core/styles/capabilities.py:47; apps/desktop_app/main.py:1079; apps/streamlit_app/streamlit_app.py:1056,tests/test_figure_preset_palette_transfer.py:44
marker_edge_width (default 0.6),partial,global,yes,no (re-render after apply only),13 renderers directly,No UI control,make_my_figure_core/styles/engine.py:169,"tests/test_figure_preset_palette_transfer.py:36,44"
marker_alpha (default 0.9),partial,global,yes,no (re-render after apply only),10 renderers directly,No UI control,make_my_figure_core/styles/engine.py:170,none found
regression_line_width (default 2.0),no,plot-specific (scatter),yes (token accepted),no (re-render after apply only),none - scatter.py draws the fit line with style.line_width_pt,Orphan token: both apps write it (= line_width_pt) but no renderer reads it,make_my_figure_core/styles/engine.py:171; make_my_figure_core/plots/scatter.py:40; apps/desktop_app/main.py:1204; apps/streamlit_app/streamlit_app.py:1058,none
errorbar_line_width (default 1.1),partial,plot-specific,yes,no (re-render after apply only),"barplot, grouped_barplot, beeswarm, dot_strip",No UI control; forest plot uses line_width_pt instead,make_my_figure_core/styles/engine.py:172; make_my_figure_core/plots/forest.py:53,none found
errorbar_capsize (default 3.5),partial,plot-specific,yes,no (re-render after apply only),"barplot, grouped_barplot, beeswarm, dot_strip",No UI control; forest plot hard-codes capsize=2.5,make_my_figure_core/styles/engine.py:173; make_my_figure_core/plots/forest.py:53,none found
bar_edge_width (default 0.9),partial,plot-specific,yes,no (re-render after apply only),"barplot, grouped_barplot, upset",No UI control,make_my_figure_core/styles/engine.py:174,none found
legend_frameon (default False),partial,global,yes,no (re-render after apply only),rcParams legend.frameon; place_legend (17 renderers); embedding_scatter,No UI control,"make_my_figure_core/styles/engine.py:176, make_my_figure_core/styles/engine.py:235; make_my_figure_core/plots/base.py:362",none found
"legend_loc (style token, default best)",partial,global,yes,no (re-render after apply only),place_legend fallback (17 renderers) when layout.legend_location is unset,No UI control; superseded by layout.legend_location; name collides with lollipop mapping option 'legend_loc' (different namespace),make_my_figure_core/styles/engine.py:177; make_my_figure_core/plots/base.py:389; make_my_figure_core/ui_hints.py:278,none found
legend_outside (default False),yes,global,yes,no (re-render after apply only),place_legend / resolve_legend_location (17 renderers),Only when the renderer calls place_legend; registry re-placement requires layout.legend_location,"make_my_figure_core/styles/engine.py:178; make_my_figure_core/plots/base.py:384-387, make_my_figure_core/plots/base.py:422-423; apps/desktop_app/main.py:1118, apps/desktop_app/main.py:1206; apps/streamlit_app/streamlit_app.py:1081",tests/test_publication_style_engine.py (recommended_overrides)
legend_ncol (default 1),partial,global,yes,no (re-render after apply only),place_legend (17 renderers),No UI control,make_my_figure_core/styles/engine.py:179; make_my_figure_core/plots/base.py:363,none found
legend_location (layout key; 14 named positions incl. outside),yes,global,yes (layout),no (re-render after apply only),registry re-places axes[0] legend for every plot that has one; 6 renderers via resolve_legend_location,Outside placement reserves fixed margins (0.75/0.28/0.82/0.22); axes[0] only,make_my_figure_core/plots/base.py:395-424; make_my_figure_core/plots/registry.py:353-381; apps/desktop_app/main.py:1114; apps/streamlit_app/streamlit_app.py:1076-1079,tests/test_figure_presets.py:145-156; tests/test_legend_location_keeps_profile_fonts.py
palette_name (publication | colorblind_safe | high_contrast | grayscale),yes,global,yes,no (re-render after apply only),33 renderers via style.color_for; also switches sequential/diverging cmaps,Volcano/MA use significance colours not the palette (supports_palette=False); hidden legacy aliases nature_like/science_like/cell_like still resolve,"make_my_figure_core/styles/engine.py:69-93, make_my_figure_core/styles/engine.py:268-277; make_my_figure_core/styles/capabilities.py:46, make_my_figure_core/styles/capabilities.py:94-99; apps/desktop_app/main.py:1065-1068; apps/streamlit_app/streamlit_app.py:1049-1051","tests/test_streamlit_presets.py:62, 84"
palette (explicit hex list),yes,global,yes,no (re-render after apply only),33 renderers via style.color_for (index order),No UI control to enter a custom palette; only reachable by editing a PlotSpec/preset,"make_my_figure_core/styles/engine.py:187, make_my_figure_core/styles/engine.py:202-204, make_my_figure_core/styles/engine.py:278-282",tests/test_figure_preset_palette_transfer.py:31-47
sequential_cmap (default viridis),yes,plot-specific,yes,no (re-render after apply only),"heatmap, hierarchical_clustering, confusion_matrix, enrichment, embedding_scatter, network_graph",No UI control for the token itself; heatmap 'colormap' option overrides it,"make_my_figure_core/styles/engine.py:188; make_my_figure_core/plots/heatmap.py:309, 326-329; make_my_figure_core/styles/capabilities.py:57",none found
diverging_cmap (default RdBu_r),yes,plot-specific,yes,no (re-render after apply only),"heatmap, hierarchical_clustering",Only used when color_scale=diverging and data are centred; no UI control,make_my_figure_core/styles/engine.py:189; make_my_figure_core/plots/heatmap.py:304-305,none found
column_width (default | single | onehalf | double),yes,global,yes (layout),no (re-render after apply only),all renderers via figure_size / figure_size_inches,Fixed mm table 130/110/140/180 - not journal widths (89/183 mm); profile column widths are never consulted because WIDTH_PRESETS_MM matches every alias,"make_my_figure_core/styles/engine.py:97, make_my_figure_core/styles/engine.py:193-200; make_my_figure_core/plots/base.py:124-142; apps/desktop_app/main.py:528; apps/streamlit_app/streamlit_app.py:1036",scripts/build_figure_preset_qc.py:69
aspect (height/width ratio),partial,global,yes (layout),no (re-render after apply only),all renderers via figure_size,No UI control in either app; renderer default aspect is used unless set in a PlotSpec/preset,make_my_figure_core/plots/base.py:138-141; make_my_figure_core/styles/engine.py:193-200,none found
physical width/height targeting (output.width_mm / height_mm),no,global,yes (output block),no (re-render after apply only),none - recorded in metadata only,Figure size comes from column_width presets; output.width_mm is set by the apps (single/double mm) but never read by figure_size; desktop writes 110 mm even for 'default'/'onehalf',"make_my_figure_core/plots/base.py:651-652; make_my_figure_core/spec/validate.py:41-49; apps/desktop_app/controller.py:335-341; apps/streamlit_app/streamlit_app.py:1248, apps/streamlit_app/streamlit_app.py:1264",none
margin_left/right/top/bottom (figure fractions),yes,global,yes (layout),no (re-render after apply only),registry apply_publication_layout (all plots) + 8 renderers,Applied via subplots_adjust; 0 means 'auto' in both UIs,make_my_figure_core/plots/base.py:530-543; make_my_figure_core/plots/registry.py:344-351; apps/desktop_app/main.py:1139-1142; apps/streamlit_app/streamlit_app.py:1039-1042,tests/test_figure_presets.py:145-156
subplot_wspace / subplot_hspace,partial,global,yes (layout),no (re-render after apply only),apply_publication_layout,No UI control in single-figure apps (Figure Builder has its own),make_my_figure_core/plots/base.py:535-538,none found
auto_fix_layout,yes,global,yes (layout),no (re-render after apply only),registry (layout_qc.auto_fix_layout),"Layout-only repair; may grow the figure, which changes physical size",make_my_figure_core/plots/registry.py:416-425; apps/desktop_app/main.py:1143; apps/streamlit_app/streamlit_app.py:1043,tests/test_figure_preset_ui_wiring.py:64-69
x_tick_rotation (layout key: auto/0/45/90 or words),yes,global,yes (layout),no (re-render after apply only),apply_publication_layout on axes[0]; autorotate in 8 categorical renderers,Also exists as a per-plot mapping option with the same name (scope=style) for 13 plot types; the layout key wins at render time,make_my_figure_core/plots/base.py:487-503; make_my_figure_core/ui_hints.py:106-107; apps/desktop_app/main.py:1099; apps/streamlit_app/streamlit_app.py:1068,"tests/test_streamlit_presets.py:63, 85"
y_tick_rotation,yes,global,yes (layout),no (re-render after apply only),apply_publication_layout on axes[0],,make_my_figure_core/plots/base.py:504-513; apps/desktop_app/main.py:1100; apps/streamlit_app/streamlit_app.py:1069,none found
x_tick_horizontal_alignment / x_tick_vertical_alignment,partial,global,yes (layout),no (re-render after apply only),apply_publication_layout,No UI control,make_my_figure_core/plots/base.py:497-498,none found
x_tick_pad / y_tick_pad,partial,global,yes (layout),no (re-render after apply only),apply_publication_layout,No UI control,make_my_figure_core/plots/base.py:515-519,none found
x_label_pad / y_label_pad / title_pad,yes,global,yes (layout),no (re-render after apply only),apply_publication_layout; heatmap/hier. clustering also expose y_label_pad as a mapping option,Duplicate namespace: y_label_pad exists both as layout key and as a mapping option for heatmaps,"make_my_figure_core/plots/base.py:520-528; make_my_figure_core/ui_hints.py:160, make_my_figure_core/ui_hints.py:355; apps/desktop_app/main.py:1101-1103; apps/streamlit_app/streamlit_app.py:1070-1072",tests/test_figure_preset_ui_wiring.py:86
y_label_rotation,partial,plot-specific,yes (as mapping option; also listed in LAYOUT_STYLE_KEYS),no (re-render after apply only),"heatmap, hierarchical_clustering read it from mapping",Listed as a layout style key but no renderer reads layout['y_label_rotation']; only the mapping option has effect,make_my_figure_core/presets.py:76; make_my_figure_core/ui_hints.py:119-120; make_my_figure_core/plots/heatmap.py:448; make_my_figure_core/plots/hierarchical_clustering.py:94,none found
x_scale / y_scale (linear | log | symlog),partial,global,yes (layout; unknown key -> style by default),no (re-render after apply only),apply_publication_layout,No UI control; arguably data-dependent yet classified as portable style,make_my_figure_core/plots/base.py:461-485; make_my_figure_core/presets.py:183,none found
colorbar_location (right | left | top | bottom),yes,plot-specific,"yes (mapping option, also allowed as layout key)",no (re-render after apply only),"heatmap, hierarchical_clustering, confusion_matrix, enrichment",Written into mapping by both UIs; heatmap falls back to layout key,"make_my_figure_core/ui_hints.py:155, make_my_figure_core/ui_hints.py:350; make_my_figure_core/plots/heatmap.py:462; apps/desktop_app/main.py:1128; apps/streamlit_app/streamlit_app.py:1085","tests/test_figure_preset_ui_wiring.py:67, 87"
colorbar_pad / colorbar_shrink,yes,plot-specific,yes (mapping option),no (re-render after apply only),"heatmap, hierarchical_clustering, confusion_matrix, enrichment",,make_my_figure_core/ui_hints.py:156-157; make_my_figure_core/plots/heatmap.py:469-470; apps/desktop_app/main.py:1129-1130; apps/streamlit_app/streamlit_app.py:1086-1087,tests/test_figure_preset_ui_wiring.py:67
colorbar_fraction,partial,plot-specific,yes (layout/mapping extra key),no (re-render after apply only),heatmap (default 0.045),No UI control,"make_my_figure_core/presets.py:80, make_my_figure_core/presets.py:91; make_my_figure_core/plots/heatmap.py:465",none found
colorbar_label,partial,plot-specific,yes (unknown layout key -> style),no (re-render after apply only),"heatmap, hierarchical_clustering read layout['colorbar_label']",Text about the data but classified as style geometry; capabilities maps it to supports_colorbar but the key is never validated,make_my_figure_core/plots/heatmap.py:477; make_my_figure_core/styles/capabilities.py:59; make_my_figure_core/presets.py:183,none found
heatmap colormap option (auto + 12 curated names),yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),"heatmap, hierarchical_clustering",Overrides the profile cmap when not 'auto',make_my_figure_core/ui_hints.py:112-115; make_my_figure_core/plots/heatmap.py:326-329,tests/test_figure_presets.py:80-86
heatmap color_scale (diverging | sequential),yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),heatmap,Diverging only honoured when data are centred,make_my_figure_core/ui_hints.py:131; make_my_figure_core/plots/heatmap.py:303-309,none found
heatmap cell_border_color / cell_border_width,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),heatmap,Cell grid auto-hidden above 40x40 unless forced,"make_my_figure_core/ui_hints.py:146-149; make_my_figure_core/plots/heatmap.py:170-171, 392-396",none found
heatmap group_separators / group_separator_color / width,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),heatmap,,"make_my_figure_core/ui_hints.py:144, make_my_figure_core/ui_hints.py:150-153; make_my_figure_core/plots/heatmap.py:166-173",none found
heatmap row_label_fontsize / col_label_fontsize (0=auto),yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),"heatmap, hierarchical_clustering",Separate from tick_label_pt token,"make_my_figure_core/ui_hints.py:158-159, make_my_figure_core/ui_hints.py:353-354; make_my_figure_core/plots/heatmap.py:352-355",none found
