paper_id,journal,journal_family,figure_number,panel,plot_family,spines,tick_direction,grid,background,error_bar_style,points_overlaid,marker_fill,marker_size_class,line_weight_class,axis_line_weight_class,legend_position,legend_frame,legend_entries,n_categorical_colours,palette_class,sequential_cmap_class,colourbar_position,panel_label_case,panel_label_weight,panel_label_size_class,font_class,axis_label_weight,title_present,significance_style,brackets,n_stated_in_panel,tick_label_density,x_tick_rotation,panel_aspect_class,confidence,notes,image_path,reviewer
PMC12764989,Scientific reports,Nature-family,4,p1,scatter_regression,LB,out,none,white,none,na,filled,medium,UNKNOWN,UNKNOWN,inside,no,2,1,greys,na,na,none,UNKNOWN,UNKNOWN,sans,regular,yes,none,no,no,normal,0,wide,medium,"Single unlettered panel; spreadsheet-style chart with dotted linear trendline, printed data labels at each point and equation/R2 text inside plot; outer rectangle is a chart frame, not axis spines; line weights UNKNOWN at web resolution",../make_my_plot/figure_library/nature/2025_Hassan_analysis_of_proteins_and_peptides_to_inv/figures/fig04_Fig4.jpg,nature_1
PMC12764989,Scientific reports,Nature-family,6,p1,bar,LB,out,none,white,bars_caps,no,na,na,na,heavy,outside_right,no,10,10,saturated,na,na,none,UNKNOWN,UNKNOWN,sans,bold,yes,none,no,no,normal,45,wide,medium,Single unlettered panel; GraphPad-style; bars do not start at zero baseline; IC50 values annotated above plot with leader lines (not significance brackets); legend heading 'Legends',../make_my_plot/figure_library/nature/2025_Hassan_analysis_of_proteins_and_peptides_to_inv/figures/fig06_Fig6.jpg,nature_1
PMC12764989,Scientific reports,Nature-family,7,p1,bar,LB,out,none,white,bars_caps,no,na,na,na,UNKNOWN,none,na,na,7,saturated,na,na,none,UNKNOWN,UNKNOWN,sans,bold,yes,p_values,yes,no,normal,45,square,medium,Panels not lettered in the image (caption letters A/B only); reading order p1-p6; boxed IC50 text labels above bars; axis line weight UNKNOWN at web resolution,../make_my_plot/figure_library/nature/2025_Hassan_analysis_of_proteins_and_peptides_to_inv/figures/fig07_Fig7.jpg,nature_1
PMC12764989,Scientific reports,Nature-family,7,p2,bar,LB,out,none,white,bars_caps,no,na,na,na,UNKNOWN,none,na,na,7,saturated,na,na,none,UNKNOWN,UNKNOWN,sans,bold,yes,p_values,yes,no,normal,45,square,medium,Panels not lettered in the image (caption letters A/B only); reading order p1-p6; boxed IC50 text labels above bars; axis line weight UNKNOWN at web resolution,../make_my_plot/figure_library/nature/2025_Hassan_analysis_of_proteins_and_peptides_to_inv/figures/fig07_Fig7.jpg,nature_1
PMC12764989,Scientific reports,Nature-family,7,p3,bar,LB,out,none,white,bars_caps,no,na,na,na,UNKNOWN,none,na,na,7,saturated,na,na,none,UNKNOWN,UNKNOWN,sans,bold,yes,none,no,no,normal,45,square,medium,Panels not lettered in the image (caption letters A/B only); reading order p1-p6; boxed IC50 text labels above bars; axis line weight UNKNOWN at web resolution,../make_my_plot/figure_library/nature/2025_Hassan_analysis_of_proteins_and_peptides_to_inv/figures/fig07_Fig7.jpg,nature_1
PMC12764989,Scientific reports,Nature-family,7,p4,bar,LB,out,none,white,bars_caps,no,na,na,na,UNKNOWN,none,na,na,7,saturated,na,na,none,UNKNOWN,UNKNOWN,sans,bold,yes,none,no,no,normal,45,square,medium,Panels not lettered in the image (caption letters A/B only); reading order p1-p6; boxed IC50 text labels above bars; axis line weight UNKNOWN at web resolution,../make_my_plot/figure_library/nature/2025_Hassan_analysis_of_proteins_and_peptides_to_inv/figures/fig07_Fig7.jpg,nature_1
PMC12764989,Scientific reports,Nature-family,7,p5,bar,LB,out,none,white,bars_caps,no,na,na,na,UNKNOWN,none,na,na,7,saturated,na,na,none,UNKNOWN,UNKNOWN,sans,bold,yes,p_values,yes,no,normal,45,square,medium,Panels not lettered in the image (caption letters A/B only); reading order p1-p6; boxed IC50 text labels above bars; axis line weight UNKNOWN at web resolution,../make_my_plot/figure_library/nature/2025_Hassan_analysis_of_proteins_and_peptides_to_inv/figures/fig07_Fig7.jpg,nature_1
PMC12764989,Scientific reports,Nature-family,7,p6,bar,LB,out,none,white,bars_caps,no,na,na,na,UNKNOWN,none,na,na,7,saturated,na,na,none,UNKNOWN,UNKNOWN,sans,bold,yes,none,no,no,normal,45,square,medium,Panels not lettered in the image (caption letters A/B only); reading order p1-p6; boxed IC50 text labels above bars; axis line weight UNKNOWN at web resolution,../make_my_plot/figure_library/nature/2025_Hassan_analysis_of_proteins_and_peptides_to_inv/figures/fig07_Fig7.jpg,nature_1
PMC12775072,Nature communications,Nature-family,1,a,non-quantitative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,"Figure has no quantitative data panel: a = geographic site map with inset, b = schematic culture chronology timeline; single non-quantitative row for the whole figure",../make_my_plot/figure_library/nature/2025_Furtwngler_tracing_social_mechanisms_and_interregio/figures/fig01_Fig1.jpg,nature_1
PMC12775072,Nature communications,Nature-family,2,p1,pca_umap,box,out,none,white,none,na,mixed,small,na,UNKNOWN,outside_right,no,19,19,mixed,na,na,none,UNKNOWN,UNKNOWN,sans,regular,no,na,na,no,normal,0,tall,medium,"Panels not lettered; p1 = zoomed left panel. Modern populations as small open grey circles, ancient samples as filled outlined squares/triangles/diamonds (mixed fills). Legend shared by both panels, two blocks (13 + 6 entries)",../make_my_plot/figure_library/nature/2025_Furtwngler_tracing_social_mechanisms_and_interregio/figures/fig02_Fig2.jpg,nature_1
