"publisher","journal","requirement","value","source_URL","access_date","mandatory_or_recommendation"
"Nature Portfolio (Springer Nature)","Nature","figure width, single column","89 mm (single column)","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","figure width, double column","183 mm (double column)","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","figure width, single column (formatting guide wording)","90 mm (single column)","https://www.nature.com/nature/for-authors/formatting-guide","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","figure width, double column (formatting guide wording)","180 mm (double column)","https://www.nature.com/nature/for-authors/formatting-guide","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","figure width, column-and-a-half","120–136 mm (column-and-a-half where necessary)","https://www.nature.com/nature/for-authors/final-submission","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","maximum figure height","170 mm, to allow space for the figure legend to fit underneath","https://research-figure-guide.nature.com/figures/building-and-exporting-figure-panels/","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","maximum figure height (initial submission wording)","maximum height of 170mm","https://www.nature.com/nature/for-authors/initial-submission","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature","full page depth","the full depth of the page is 170 mm (formatting guide); The full depth of a Nature page is 247 mm (final-submission page)","https://www.nature.com/nature/for-authors/formatting-guide ; https://www.nature.com/nature/for-authors/final-submission","2026-09-16","not specified (informational)"
"Nature Portfolio (Springer Nature)","Nature","maximum figure height vs caption length (NRJ artwork PDF)","1-column (88 mm) width: <300 words ~130 mm; <150 words ~180 mm; <50 words ~220 mm. 2-column (180 mm) width: <300 words ~185 mm; <150 words ~210 mm; <50 words ~225 mm","https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf (local copy /tmp/nrj_artwork.pdf; PDF dated 2021-01)","2026-09-16","recommendation"
"Nature Portfolio (Springer Nature)","Nature-branded research journals (Nature Methods etc.)","figure width, single column (NRJ artwork PDF)","88 mm (1-column width) for Analysis, Article, Brief Communication, Consensus Statement, Hypothesis, Letter, Perspective, Progress Article, Resource, Review Article, Technical Report","https://www.nature.com/documents/NRJs-guide-to-preparing-final-artwork.pdf (local copy /tmp/nrj_artwork.pdf; PDF dated 2021-01)","2026-09-16","recommendation"
