screenshot,workflow,source_data,private_data_check,ui_match,manual_section,status,notes
desktop_01_home_upload.png,welcome page before any data,none (welcome page),"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,MakeMyFigure_Quick_Start: 3. Open the app,OK,
desktop_02_data_loaded_workspace.png,bar plot example rendered; data preview + controls,bundled example: barplot_with_error_bar,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,MakeMyFigure_Quick_Start: 3. Open the app | 01_introduction_installation_interface_data: 14. Desktop layout,OK,group titles with '&' show a Qt mnemonic artefact (known UI defect)
desktop_03_plot_selector_and_mapping.png,"controls column: plot type, recommendations, map columns, options",bundled example: barplot_with_error_bar,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,01_introduction_installation_interface_data: 14. Desktop layout,OK,same mnemonic artefact
desktop_04_publication_controls.png,"5. Publication style group (typography, axes, legend, colorbar, margins)",bundled example: barplot_with_error_bar,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,MakeMyFigure_Quick_Start: 5. Make a basic figure | 04_publication_colour_annotations_presets_plotspec_builder: 42. Shared controls,OK,same mnemonic artefact ('Axes _labels')
desktop_05_statistics.png,"Statistics panel: test, comparison, correction, annotation, results table",bundled example: boxplot_or_violin_with_points,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,MakeMyFigure_Quick_Start: 7. Run statistics | 02_mapping_recommendations_matrix_preprocessing_statistics: 37. Where statistics live,OK,
desktop_05b_statistics_figure.png,box/violin with brackets after Run statistics,bundled example: boxplot_or_violin_with_points,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,02_mapping_recommendations_matrix_preprocessing_statistics: 37. Where statistics live,OK,
desktop_06_matrix_workflow_mapping.png,Matrix workflow tab: ① Map columns (before confirming),bundled example: heatmap_clustered_matrix,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,MakeMyFigure_Quick_Start: 8. Matrix workflow | 02_mapping_recommendations_matrix_preprocessing_statistics: 28. ① Map columns,OK,tab title 'Recommend _generate' mnemonic artefact
desktop_07_matrix_workflow_groups.png,Matrix workflow tab: ② Define groups (groups typed per sample column),bundled example: heatmap_clustered_matrix,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,02_mapping_recommendations_matrix_preprocessing_statistics: 29. ② Define groups,OK,
desktop_08_preprocessing_qc.png,Matrix workflow tab: ③ Preprocess (raw-like),bundled example: heatmap_clustered_matrix,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,02_mapping_recommendations_matrix_preprocessing_statistics: 30. ③ Preprocess (raw-like),OK,
desktop_08b_matrix_validation.png,Matrix workflow tab: ④ Validation after Run diagnostics,bundled example: heatmap_clustered_matrix,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,02_mapping_recommendations_matrix_preprocessing_statistics: 31. ④ Validation,OK,
desktop_08c_matrix_recommend_generate.png,Matrix workflow tab: ⑤ Recommend & generate,bundled example: heatmap_clustered_matrix,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,02_mapping_recommendations_matrix_preprocessing_statistics: 32. ⑤ Recommend & generate,OK,
desktop_09_plot_recommendations.png,Recommended plots for a grouped-observation table,bundled example: dot_strip_plot,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,MakeMyFigure_Quick_Start: 6. Use recommendations | 02_mapping_recommendations_matrix_preprocessing_statistics: 24. What the engine does,OK,
desktop_10_volcano_editor.png,volcano example with options and labels,bundled example: volcano_plot,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,05_export_multisheet_de_performance_platforms_troubleshooting_reference: 74. Plots,OK,
desktop_10b_volcano_options.png,"volcano options: class colours, cutoffs, labels, duplicate policy",bundled example: volcano_plot,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,04_publication_colour_annotations_presets_plotspec_builder: 46. Volcano example,OK,
desktop_11_figure_preset_save.png,dialog: Save Figure Preset,bundled example: scatterplot_with_regression,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,MakeMyFigure_Quick_Start: 9. Save a Figure preset | 04_publication_colour_annotations_presets_plotspec_builder: 55. Saving,OK,
desktop_12_figure_preset_load.png,Figure preset group with saved presets listed,bundled example: scatterplot_with_regression,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,MakeMyFigure_Quick_Start: 9. Save a Figure preset | 04_publication_colour_annotations_presets_plotspec_builder: 56. Applying,OK,
desktop_13_annotation_controls.png,Labels & size group with Point picking enabled,bundled example: volcano_plot,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,04_publication_colour_annotations_presets_plotspec_builder: 48. Click to label (desktop),OK,
desktop_14_figure_builder.png,Figure Builder with three generated panels,"bundled examples: bar, scatter, volcano","PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",verified visually,MakeMyFigure_Quick_Start: 10. Figure Builder (multi-panel figures) | 04_publication_colour_annotations_presets_plotspec_builder: 64. Opening it and adding panels,OK,
desktop_15_figure_builder_resize.png,first panel widened to 6 in; 2x2 grid,"bundled examples: bar, scatter, volcano","PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,04_publication_colour_annotations_presets_plotspec_builder: 66. Layout controls,OK,
desktop_16_export_options.png,"Export group: SVG/PNG/PDF/PlotSpec JSON, ZIP, template, panels",bundled example: volcano_plot,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,MakeMyFigure_Quick_Start: 5. Make a basic figure,OK,
desktop_17_multi_sheet_workbook.png,Worksheet chooser for the bundled example workbook,bundled workbook: examples/Make_My_Figure_All_Example_Data.xlsx,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,05_export_multisheet_de_performance_platforms_troubleshooting_reference: 72. Workflow,OK,
desktop_17b_workbook_loaded.png,"workbook loaded: worksheet box, preview and figure",bundled workbook: examples/Make_My_Figure_All_Example_Data.xlsx,"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,05_export_multisheet_de_performance_platforms_troubleshooting_reference: 72. Workflow,OK,
desktop_18_help.png,dialog: Make My Figure — Help,none (help dialog),"PASS - bundled synthetic example data only; no user files, no absolute paths in the UI",captured from live UI; not individually opened,01_introduction_installation_interface_data: 14. Desktop layout,OK,
