plot_id,display_name,plot_family,required_columns,optional_columns,recommended_input_shape,compatible_statistics,transformations,annotations,preset_support,Figure_Package_support,example_dataset,existing_manual_section,tutorial_status,video_status
barplot_with_error_bar,Bar plot with error bars,03_Group_Comparisons,x; y; color,,long table: one row per observation,Welch's t-test; Student's t-test; Mann-Whitney U test,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),error; x_tick_rotation,yes,yes,examples/by_plot_type/bar_error/data.csv,Bar plot with error bars,MISSING,MISSING
grouped_barplot_with_error_bar,Grouped bar plot with error bars,03_Group_Comparisons,x; group; y,,long table: one row per observation,Two-way ANOVA; Welch's t-test; Mann-Whitney U test; Student's t-test,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),error; x_tick_rotation,yes,yes,examples/by_plot_type/grouped_bar/data.csv,Grouped bar plot with error bars,MISSING,MISSING
heatmap_clustered_matrix,Clustered heatmap,05_Matrix_and_Omics,row_id,,feature x sample matrix (one id column + numeric value columns),,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),cluster_rows; cluster_columns; color_scale; colormap; y_label_rotation; scale; distance_metric; linkage_method; cluster_k_rows; cluster_k_columns; sort_by_cluster; group_separators; cell_border_color;,yes,yes,examples/by_plot_type/heatmap/data.csv,Clustered heatmap,WRITTEN,SCRIPT
volcano_plot,Volcano plot,05_Matrix_and_Omics,x; p; label,id_col,one row per feature with effect size and p-value,,,show_legend; color_up; color_down; color_ns; lfc_cutoff; p_cutoff; use_fdr; annotate; label_mode; top_n; top_n_up; top_n_down; label_by; show_arrows; label_box; duplicate_label_policy; duplicate_label,yes,yes,examples/by_plot_type/volcano/data.csv,Volcano plot,WRITTEN,SCRIPT
scatterplot_with_regression,Scatter plot,04_Relationships_and_Regression,x; y; color,label,long table: one row per observation,Pearson correlation; Spearman correlation; Linear regression,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),fit_line; show_fit_stats; show_slope; show_r2; show_p; show_r; show_intercept; show_n; show_equation; fit_stats_loc,yes,yes,examples/by_plot_type/scatter/data.csv,Scatter plot,WRITTEN,SCRIPT
boxplot_or_violin_with_points,Box / violin plot with points,03_Group_Comparisons,x; y,,long table: one row per observation,Welch's t-test; Student's t-test; Mann-Whitney U test,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),point_size; kind; points; x_tick_rotation,yes,yes,examples/by_plot_type/box_violin/data.csv,Box / violin plot with points,WRITTEN,SCRIPT
lineplot_timecourse_with_error_band,Line / time-course with error band,02_Basic_Plots,x; y; color,style_by,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),error,yes,yes,examples/by_plot_type/line_timecourse/data.csv,Line / time-course with error band,MISSING,MISSING
ridge_or_density_plot,Ridge / density plot,02_Basic_Plots,x; group,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),density_mode; overlap,yes,yes,examples/by_plot_type/ridge/data.csv,Ridge / density plot,MISSING,MISSING
histogram_distribution,Histogram (binned distribution),02_Basic_Plots,x; group,value_columns,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),input_form; panel_mode; draw_style; normalize; cumulative; bins; bin_width; show_mean; show_median; bar_alpha; log_y; share_axes; x_min; x_max; y_min; y_max; x_tick_rotation,yes,yes,examples/by_plot_type/histogram/data.csv,Histogram (binned distribution),MISSING,MISSING
enrichment_dotplot,Enrichment dot plot,05_Matrix_and_Omics,y; x; size; color,,long table: one row per observation,,wide_to_long; correlation_matrix; value_counts (Define groups / Matrix workflow where applicable),top_n,yes,yes,examples/by_plot_type/enrichment/data.csv,Enrichment dot plot,MISSING,MISSING
