branch,commit,commit_subject,classification,already_in_main,software_change,test_change,benchmark_change,documentation_change,packaging_change,manuscript_change,private_data_risk,should_integrate,integration_method,reason
fix/collaborator-concerns-c1-c3,8415d4b,Fix collaborator-reported issues C1-C3,SOFTWARE,no,True,True,True,False,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,12e2126,Read column roles and options from ui_hints in the browser app,SOFTWARE,no,True,True,True,False,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,55b9e0e,Ship the bundled resources inside the installed package,SOFTWARE,no,True,True,False,False,True,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,ba46857,Offer a multiselect for column roles that take several columns,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,c5b2389,Merge the packaging fix so a built wheel can actually render,UNCERTAIN,no,False,False,False,False,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,81e7aae,Record the end-to-end verification of C1-C3 through the UI code paths,BENCHMARK,no,False,False,True,False,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,30c6b9e,Add the built distribution for review,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,2957e5a,Give multi-column roles a multi-select in the desktop app,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,c1145f9,Add axis-range and tick overrides,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,da93e8b,Let an optional numeric option actually be left blank in the desktop app,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,335ceee,Rebuild the distribution at da93e8b,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,64c9d3f,Repair three stale tests so the suite runs clean,TEST,no,False,True,True,False,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,b2e0ad0,Add a histogram plot type,SOFTWARE,no,True,True,False,True,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,0753393,Rebuild the distribution at b2e0ad0,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,59f82b4,"Add Figure presets for every plot type, with a registry-wide QC matrix",SOFTWARE,no,True,True,True,True,True,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,ac49ff8,Rebuild the distribution at 59f82b4,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,7fdee5e,Fix six numerical defects found by the independent R validation,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,f001e69,Add the independent R validation benchmark (benchmarks/r_validation),BENCHMARK,no,False,False,True,False,False,False,none identified,yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/collaborator-concerns-c1-c3,5695683,Rebuild the distribution at f001e69,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",yes,fast-forward merge of the whole branch,exclusively software/tests/benchmark/docs/packaging
fix/package-data-resources,55b9e0e,Ship the bundled resources inside the installed package,SOFTWARE,no,True,True,False,False,True,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
manuscript/figure3,c1ea4b1,Fix six numerical defects found by the independent R validation,SOFTWARE,no,True,True,False,False,False,False,none identified,yes (via fix branch),contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
manuscript/figure3,1d6177c,Add the independent R validation benchmark (benchmarks/r_validation),BENCHMARK,no,False,False,True,False,False,False,none identified,yes (via fix branch),contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
manuscript/figure4,8415d4b,Fix collaborator-reported issues C1-C3,SOFTWARE,no,True,True,True,False,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,12e2126,Read column roles and options from ui_hints in the browser app,SOFTWARE,no,True,True,True,False,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,55b9e0e,Ship the bundled resources inside the installed package,SOFTWARE,no,True,True,False,False,True,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,ba46857,Offer a multiselect for column roles that take several columns,SOFTWARE,no,True,True,False,False,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,c5b2389,Merge the packaging fix so a built wheel can actually render,UNCERTAIN,no,False,False,False,False,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,81e7aae,Record the end-to-end verification of C1-C3 through the UI code paths,BENCHMARK,no,False,False,True,False,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,30c6b9e,Add the built distribution for review,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",already via fix branch,contained in fix branch,duplicate
manuscript/figure4,2957e5a,Give multi-column roles a multi-select in the desktop app,SOFTWARE,no,True,True,False,False,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,c1145f9,Add axis-range and tick overrides,SOFTWARE,no,True,True,False,False,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,da93e8b,Let an optional numeric option actually be left blank in the desktop app,SOFTWARE,no,True,True,False,False,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,335ceee,Rebuild the distribution at da93e8b,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",already via fix branch,contained in fix branch,duplicate
manuscript/figure4,64c9d3f,Repair three stale tests so the suite runs clean,TEST,no,False,True,True,False,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,b2e0ad0,Add a histogram plot type,SOFTWARE,no,True,True,False,True,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,0753393,Rebuild the distribution at b2e0ad0,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",already via fix branch,contained in fix branch,duplicate
manuscript/figure4,59f82b4,"Add Figure presets for every plot type, with a registry-wide QC matrix",SOFTWARE,no,True,True,True,True,True,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,ac49ff8,Rebuild the distribution at 59f82b4,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",already via fix branch,contained in fix branch,duplicate
manuscript/figure4,7fdee5e,Fix six numerical defects found by the independent R validation,SOFTWARE,no,True,True,False,False,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,f001e69,Add the independent R validation benchmark (benchmarks/r_validation),BENCHMARK,no,False,False,True,False,False,False,none identified,already via fix branch,contained in fix branch,duplicate
manuscript/figure4,5695683,Rebuild the distribution at f001e69,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",already via fix branch,contained in fix branch,duplicate
manuscript/figure4,eebb55e,Keep the Publication font stack when a figure is exported,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,cherry-pick,"pure software commit (core + tests), no manuscript paths"
manuscript/figure4,5c09504,Draw Figure Builder letters and titles in the Publication font stack,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,cherry-pick,"pure software commit (core + tests), no manuscript paths"
manuscript/figure4,e4f4846,Draw re-placed legends and manual annotations inside the style context,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,cherry-pick,"pure software commit (core + tests), no manuscript paths"
manuscript/figure4,4ee5dd8,Pin palette-order transfer of style presets to plots with new categories,TEST,no,False,True,False,False,False,False,none identified,yes,cherry-pick,"pure software commit (core + tests), no manuscript paths"
manuscript/figure4,bf4abed,Make tick density follow the style font and keep rotated tick labels single-line,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,cherry-pick,"pure software commit (core + tests), no manuscript paths"
manuscript/figure5,483141a,Fix six numerical defects found by the independent R validation,SOFTWARE,no,True,True,False,False,False,False,none identified,already via fix branch (same content as 7fdee5e),skip (duplicate content),software commit without manuscript paths
manuscript/figure5,8ec7381,"Add median/IQR/range bands, layout axis scales, and editable-text Streamlit exports",SOFTWARE,no,True,True,False,False,False,False,none identified,yes,cherry-pick (resolve overlaps with figure4 font/legend commits),software commit without manuscript paths
manuscript/figure5,7433b3f,Parse delimited-text floats correctly rounded; define the line-plot band choices,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,cherry-pick (resolve overlaps with figure4 font/legend commits),software commit without manuscript paths
manuscript/figure5,17eb340,Keep the profile font stack at export time; title weight token; layout keys in dot-strip,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,cherry-pick (resolve overlaps with figure4 font/legend commits),software commit without manuscript paths
manuscript/figure5,7f9fb02,Line plot legend goes through place_legend / layout legend_location,SOFTWARE,no,True,False,False,False,False,False,none identified,yes,cherry-pick (resolve overlaps with figure4 font/legend commits),software commit without manuscript paths
manuscript/figure5,253e926,Re-place legends inside the profile rc context so legend fonts follow the style tokens,SOFTWARE,no,True,True,False,False,False,False,none identified,yes,cherry-pick (resolve overlaps with figure4 font/legend commits),software commit without manuscript paths
manuscript/figure5,f91785d,"Figure 5: technical validation figure, benchmarks, audit tables and Results text",MANUSCRIPT_ONLY,no,False,False,False,False,False,True,manuscript figure data/text (private; excluded),no,exclude,"Figure 5 manuscript panels, data and text; kept private"
manuscript/figure5,18e46ce,"Figure 5: six-panel redesign (input, platform, structure, export, scaling, repeatability)",MIXED_SOFTWARE_MANUSCRIPT,no,True,True,False,False,False,True,manuscript figure data/text (private; excluded),partial,manual port of the test additions only (tests/test_band_and_axis_scale.py); manuscript paths excluded,software part is a test extension; manuscript part private
manuscript/figure5,a36d8d9,"Figure 5 publication polish: typography, legends, contrast, markers",MIXED_SOFTWARE_MANUSCRIPT,no,True,True,False,False,False,True,manuscript figure data/text (private; excluded),partial,manual port of the test additions only (tests/test_band_and_axis_scale.py); manuscript paths excluded,software part is a test extension; manuscript part private
manuscript/figure5,5dc45e9,"Figure 5 final visual QC: calibrated typography, consistent tick rotation, balanced Panel E",MANUSCRIPT_ONLY,no,False,False,False,False,False,True,manuscript figure data/text (private; excluded),no,exclude,"Figure 5 manuscript panels, data and text; kept private"
task2-parallel,8415d4b,Fix collaborator-reported issues C1-C3,SOFTWARE,no,True,True,True,False,False,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,12e2126,Read column roles and options from ui_hints in the browser app,SOFTWARE,no,True,True,True,False,False,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,55b9e0e,Ship the bundled resources inside the installed package,SOFTWARE,no,True,True,False,False,True,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,ba46857,Offer a multiselect for column roles that take several columns,SOFTWARE,no,True,True,False,False,False,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,c5b2389,Merge the packaging fix so a built wheel can actually render,UNCERTAIN,no,False,False,False,False,False,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,81e7aae,Record the end-to-end verification of C1-C3 through the UI code paths,BENCHMARK,no,False,False,True,False,False,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,30c6b9e,Add the built distribution for review,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,2957e5a,Give multi-column roles a multi-select in the desktop app,SOFTWARE,no,True,True,False,False,False,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,c1145f9,Add axis-range and tick overrides,SOFTWARE,no,True,True,False,False,False,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,da93e8b,Let an optional numeric option actually be left blank in the desktop app,SOFTWARE,no,True,True,False,False,False,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,335ceee,Rebuild the distribution at da93e8b,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,64c9d3f,Repair three stale tests so the suite runs clean,TEST,no,False,True,True,False,False,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,b2e0ad0,Add a histogram plot type,SOFTWARE,no,True,True,False,True,False,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,0753393,Rebuild the distribution at b2e0ad0,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,59f82b4,"Add Figure presets for every plot type, with a registry-wide QC matrix",SOFTWARE,no,True,True,True,True,True,False,none identified,already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
task2-parallel,ac49ff8,Rebuild the distribution at 59f82b4,PACKAGING,no,False,False,False,False,True,False,"dist wheels committed (build artefacts, no private data)",already via fix branch,contained in fix/collaborator-concerns-c1-c3 (same or equivalent commit),duplicate of the fix-branch history
ci/release-attach,(branch head; 1 commits not in main),last commit 2026-07-10,SUPERSEDED_PRE_V1.0.0,content merged/superseded before v1.0.0 (merge-base 65a1222 is ancestor of v1.0.0: True),,,,,,,none identified,no,exclude,pre-v1.0.0 development branch; not created after v1.0.0; not in release scope
feat/v0.4-plot-types,(branch head; 1 commits not in main),last commit 2026-07-11,SUPERSEDED_PRE_V1.0.0,content merged/superseded before v1.0.0 (merge-base 5f9cff5 is ancestor of v1.0.0: True),,,,,,,none identified,no,exclude,pre-v1.0.0 development branch; not created after v1.0.0; not in release scope
feat/v0.5-click-annotate,(branch head; 3 commits not in main),last commit 2026-07-12,SUPERSEDED_PRE_V1.0.0,content merged/superseded before v1.0.0 (merge-base eb5cfa4 is ancestor of v1.0.0: True),,,,,,,none identified,no,exclude,pre-v1.0.0 development branch; not created after v1.0.0; not in release scope
feat/v0.5-imported-panels,(branch head; 1 commits not in main),last commit 2026-07-11,SUPERSEDED_PRE_V1.0.0,content merged/superseded before v1.0.0 (merge-base 80127c7 is ancestor of v1.0.0: True),,,,,,,none identified,no,exclude,pre-v1.0.0 development branch; not created after v1.0.0; not in release scope
feat/v0.5-networks-annotations-clustering,(branch head; 2 commits not in main),last commit 2026-07-11,SUPERSEDED_PRE_V1.0.0,content merged/superseded before v1.0.0 (merge-base 453733d is ancestor of v1.0.0: True),,,,,,,none identified,no,exclude,pre-v1.0.0 development branch; not created after v1.0.0; not in release scope
feat/v0.5.2-memory-guards,(branch head; 1 commits not in main),last commit 2026-07-12,SUPERSEDED_PRE_V1.0.0,content merged/superseded before v1.0.0 (merge-base b58f0f5 is ancestor of v1.0.0: True),,,,,,,none identified,no,exclude,pre-v1.0.0 development branch; not created after v1.0.0; not in release scope
fix/grouping-heatmap,(branch head; 1 commits not in main),last commit 2026-07-12,SUPERSEDED_PRE_V1.0.0,content merged/superseded before v1.0.0 (merge-base cec834a is ancestor of v1.0.0: True),,,,,,,none identified,no,exclude,pre-v1.0.0 development branch; not created after v1.0.0; not in release scope
fix/pick-identify-float-dtype,(branch head; 1 commits not in main),last commit 2026-07-12,SUPERSEDED_PRE_V1.0.0,content merged/superseded before v1.0.0 (merge-base 5fb87a0 is ancestor of v1.0.0: True),,,,,,,none identified,no,exclude,pre-v1.0.0 development branch; not created after v1.0.0; not in release scope
v0_6_publication_local,(branch head; 6 commits not in main),last commit 2026-07-14,SUPERSEDED_PRE_V1.0.0,content merged/superseded before v1.0.0 (merge-base 44ca6b0 is ancestor of v1.0.0: True),,,,,,,none identified,no,exclude,pre-v1.0.0 development branch; not created after v1.0.0; not in release scope
worktree-lower-artifact-retention,(branch head; 3 commits not in main),last commit 2026-07-10,SUPERSEDED_PRE_V1.0.0,content merged/superseded before v1.0.0 (merge-base 44ca6b0 is ancestor of v1.0.0: True),,,,,,,none identified,no,exclude,pre-v1.0.0 development branch; not created after v1.0.0; not in release scope
benchmarks/one-publication,(branch head; 0 commits not in main),last commit 2026-07-15,SUPERSEDED_PRE_V1.0.0,content merged/superseded before v1.0.0 (merge-base 309ca6e is ancestor of v1.0.0: True),,,,,,,none identified,no,exclude,pre-v1.0.0 development branch; not created after v1.0.0; not in release scope
